title,rating,year,wins,nominations,news,reviews
Der Vagabund und das Kind (1921),8.4,1921,1,0,96,85
Goldrausch (1925),8.3,1925,2,1,110,122
Metropolis (1927),8.4,1927,3,4,428,376
Der General (1926),8.3,1926,1,1,123,219
Lichter der Großstadt (1931),8.7,1931,2,0,187,186
M (1931),8.5,1931,1,0,4,254
Es geschah in einer Nacht (1934),8.3,1934,4,1,183,211
Moderne Zeiten (1936),8.6,1936,3,1,27,180
Vom Winde verweht (1939),8.2,1939,10,6,1263,653
Mr. Smith geht nach Washington (1939),8.4,1939,4,10,110,226
Der Zauberer von Oz (1939),8.1,1939,6,12,2363,477
Früchte des Zorns (1940),8.2,1940,6,5,135,257
Der große Diktator (1940),8.5,1940,5,1,181,173
Rebecca (1940),8.3,1940,2,9,328,241
Citizen Kane (1941),8.5,1941,7,10,1439,1101
Die Spur des Falken (1941),8.2,1941,1,0,332,294
Casablanca (1942),8.6,1942,5,6,382,960
Frau ohne Gewissen (1944),8.5,1944,3,0,231,260
Die besten Jahre unseres Lebens (1946),8.3,1946,13,1,129,218
Tote schlafen fest (1946),8.1,1946,1,0,171,215
It's a Wonderful Life (1946),8.7,1946,6,0,531,626
Berüchtigt (1946),8.2,1946,2,1,102,260
Fahrraddiebe (1948),8.4,1948,17,0,239,202
Cocktail für eine Leiche (1948),8.1,1948,0,0,199,283
Der Schatz der Sierra Madre (1948),8.4,1948,12,4,149,190
Der dritte Mann (1949),8.4,1949,3,4,338,364
Alles über Eva (1950),8.4,1950,15,15,253,276
Rashomon (1950),8.4,1950,9,2,102,238
Boulevard der Dämmerung (1950),8.6,1950,17,13,1033,394
Der Fremde im Zug (1951),8.1,1951,1,1,326,245
Zwölf Uhr mittags (1952),8.2,1952,12,10,361,309
Ikiru - Einmal richtig leben (1952),8.4,1952,5,0,57,136
Du sollst mein Glücksstern sein (1952),8.4,1952,4,7,333,441
Ein Herz und eine Krone (1953),8.1,1953,7,14,136,193
Stalag 17 (1953),8.1,1953,1,4,67,130
Die Teuflischen (1955),8.3,1955,4,0,77,135
Bei Anruf Mord (1954),8.2,1954,3,2,232,223
Die Faust im Nacken (1954),8.3,1954,21,7,352,255
Das Fenster zum Hof (1954),8.6,1954,6,6,711,580
Die sieben Samurai (1954),8.8,1954,4,5,576,548
Das Lied der Straße (1954),8.2,1954,10,4,108,108
Die Nacht des Jägers (1955),8.1,1955,1,0,152,322
Killing (1956),8.1,1956,0,0,59,304
Die zwölf Geschworenen (1957),8.9,1957,16,6,68,726
Die Brücke am Kwai (1957),8.3,1957,24,5,160,243
Wege zum Ruhm (1957),8.5,1957,3,2,208,313
Das siebente Siegel (1957),8.3,1957,7,1,193,236
Wilde Erdbeeren (1957),8.3,1957,12,2,107,130
Zeugin der Anklage (1957),8.5,1957,3,8,32,172
Im Zeichen des Bösen (1958),8.2,1958,3,1,211,245
Vertigo - Aus dem Reich der Toten (1958),8.5,1958,6,3,671,618
Ben Hur (1959),8.2,1959,20,5,193,340
Der unsichtbare Dritte (1959),8.5,1959,7,4,644,466
Sie küßten und sie schlugen ihn (1959),8.2,1959,6,3,178,159
Manche mögen's heiß (1959),8.4,1959,12,8,546,329
Das Appartement (1960),8.4,1960,18,8,211,221
Das süße Leben (1960),8.1,1960,8,12,350,149
Psycho (1960),8.6,1960,6,5,2059,885
Haie der Großstadt (1961),8.1,1961,15,14,130,145
Das Urteil von Nürnberg (1961),8.3,1961,17,21,98,156
Die Leibwache (1961),8.4,1961,4,1,144,139
Lawrence von Arabien (1962),8.4,1962,20,13,929,509
Wer die Nachtigall stört (1962),8.4,1962,12,12,524,407
Achteinhalb (1963),8.2,1963,14,8,22,202
Dr. Seltsam\,dr seltsam oder wie ich lernte die bombe zu lieben,263157,1964,video.movie,4,56
Gesprengte Ketten (1963),8.3,1963,4,4,309,285
Für eine Handvoll Dollar (1964),8.1,1964,1,1,206,215
Schlacht um Algier (1966),8.2,1966,9,3,129,236
Für ein paar Dollar mehr (1965),8.4,1965,0,0,102,201
Zwei glorreiche Halunken (1966),9,1966,1,0,11,684
Persona (1966),8.2,1966,8,1,92,149
Wer hat Angst vor Virginia Woolf? (1966),8.2,1966,20,18,10,213
Der Unbeugsame (1967),8.2,1967,5,6,229,249
Die Reifeprüfung (1967),8.1,1967,20,13,329,573
2001: Odyssee im Weltraum (1968),8.3,1968,12,6,28,1568
Butch Cassidy und Sundance Kid (1969),8.2,1969,18,12,508,281
Spiel mir das Lied vom Tod (1968),8.7,1968,5,4,277,518
Uhrwerk Orange (1971),8.4,1971,11,13,1076,1250
Der Pate (1972),9.2,1972,29,19,1307,1751
Der Clou (1973),8.4,1973,10,6,275,224
Chinatown (1974),8.3,1974,20,22,547,412
Der Pate 2 (1974),9.1,1974,11,16,197,565
Die Ritter der Kokosnuß (1975),8.4,1975,0,0,260,613
Barry Lyndon (1975),8.1,1975,15,11,253,341
Hundstage (1975),8.1,1975,13,17,438,228
Der weiße Hai (1975),8.1,1975,9,14,1497,880
Einer flog über das Kuckucksnest (1975),8.8,1975,30,12,397,675
Network (1976),8.2,1976,22,19,366,295
Rocky (1976),8.1,1976,17,20,1161,479
Taxi Driver (1976),8.4,1976,26,9,1830,768
Der Stadtneurotiker (1977),8.2,1977,26,7,37,408
Krieg der Sterne (1977),8.7,1977,35,26,23660,1325
Die durch die Hölle gehen (1978),8.2,1978,21,17,488,949
Alien - Das unheimliche Wesen aus einer fremden Welt (1979),8.5,1979,12,18,5671,991
Apocalypse Now (1979),8.5,1979,17,30,1356,896
Das Leben des Brian (1979),8.2,1979,0,0,275,298
Stalker (1979),8.2,1979,2,1,34,253
Der Elefantenmensch (1980),8.3,1980,10,13,242,325
Das Imperium schlägt zurück (1980),8.8,1980,12,16,1774,764
Wie ein wilder Stier (1980),8.3,1980,26,19,1478,454
Shining (1980),8.5,1980,2,5,1528,1208
Das Boot (1981),8.5,1981,13,5,67,397
Jäger des verlorenen Schatzes (1981),8.6,1981,25,22,2004,691
Der Blade Runner (1982),8.3,1982,10,15,4395,1072
Fanny und Alexander (1982),8.2,1982,20,7,99,91
Gandhi (1982),8.1,1982,30,16,304,222
Das Ding aus einer anderen Welt (1982),8.2,1982,0,0,1702,849
Fröhliche Weihnachten (1983),8.1,1983,3,11,621,431
Die Rückkehr der Jedi-Ritter (1983),8.4,1983,12,14,1879,558
Scarface - Toni\,http://www.imdb.com/title/tt0086250/,10200,video.movie,0,134,985
Amadeus (1984),8.4,1984,33,13,242,500
Nausicaä - Prinzessin aus dem Tal der Winde (1984),8.2,1984,3,0,41,161
Es war einmal in Amerika (1984),8.4,1984,13,4,187,461
Terminator (1984),8.1,1984,5,6,3869,602
Zurück in die Zukunft (1985),8.5,1985,13,24,3628,680
Ran (1985),8.3,1985,28,18,106,220
Aliens - Die Rückkehr (1986),8.5,1986,16,21,2150,998
Platoon (1986),8.2,1986,22,10,467,476
Stand by Me - Das Geheimnis eines Sommers (1986),8.2,1986,3,10,903,536
